회차,상호명,구분,소재지
1011,희망슈퍼,수동,경남 창원시 의창구 원이대로279번길 17 
1011,동홍코사마트,자동,제주 서귀포시 동홍북로 10 동홍코사마트 동홍코사마트내
1012,복권천하,자동,"서울 강북구 월계로7나길 23,(미아동) "
1012,노다지,자동,서울 동대문구 한천로 55 
1012,세계로생활가전,수동,서울 동작구 보라매로 104 1층
1012,복권천국,자동,서울 서초구 서초대로 97 1층
1012,인터넷 복권판매사이트,자동,동행복권(dhlottery.co.kr) 
1012,종국이두마리치킨불로점,자동,대구 동구 팔공로30길 6 
1012,이마트24 대구북구매천점,자동,대구 북구 매전로4길 22 1층(매천동)
1012,명당로또,자동,울산 남구 팔등로 65 
1012,명당슈퍼,자동,경기 수원시 영통구 중부대로 285 김환규산부인과 
1012,천하명당,자동,경기 평택시 탄현로 224 
1012,복권명당,자동,충남 공주시 번영1로 41 
1012,차암일등로또,자동,충남 천안시 서북구 밤개울1길 1-5 
1012,로또복권판매점,자동,전북 남원시 가방뜰길 57 금동휴먼시아 상가
1013,삼성마트,자동,서울 강남구 선릉로 628 
1013,스파,자동,서울 노원구 동일로 1493 상계주공아파트(10단지) 주공10단지종합상가111
1013,가로가판대제57호(구),자동,서울 중구 세종대로14길 6-2 
1013,부일카서비스,자동,부산 동구 자성로133번길 35 
1013,장원로또,자동,경기 수원시 영통구 중부대로246번길 10 1층 3호
1014,서울구가-17가판,자동,서울 구로구 구로동로 130-2 구로4동우체국앞가판
1014,가로판매점,수동,서울 용산구 한강대로 114 신용산역 1번출구앞 가판
1014,갈렙분식한식,수동,서울 중랑구 용마산로115길 92 
1014,현대슈퍼,수동,광주 서구 상무대로 871 
1014,가판점,자동,경기 부천시 부일로459번길 8 국민은행버스정류장 옆 가판
1014,금곡로,자동,"경기 수원시 권선구 금곡로197번길 18-23 해피라움블루 105호(금곡동, 해피라움블루)"
1014,로또복권방,반자동,충남 천안시 서북구 쌍용대로 190 상가3호
1014,행운플러스,수동,전북 전주시 덕진구 송천로 1 
1014,드림마트,자동,경남 김해시 인제로170번길 15-6 씨스페이스편의점 내
1014,스마일,반자동,경남 양산시 북안남4길 2 복권판매점
1015,오렌지데이편의점,수동,부산 해운대구 좌동순환로249번길 11 르네상스오피스102호
1015,복권명당(영남점),수동,"대구 달서구 월배로 122,(진천동) "
1015,1등로또방,자동,광주 동구 중앙로 249-2 
1015,오천억복권방,자동,광주 서구 상무대로 1087 
1015,돈방석,수동,경기 수원시 장안구 송정로 170 1층 101호(조원동)
1015,복권천국,수동,전남 여수시 선소로 62 부영아파트상가4동1-2호
1015,큐마트학동점로또,수동,전남 여수시 학동서5길 2 큐마트내
1015,부강 돈벼락,자동,경남 양산시 물금로 41 양산물금양우내안애5차리버파크 상가108호 양우대산부동산 내
1016,나눔로또 석촌점,수동,서울 송파구 백제고분로27길  34 1층
1016,가판14호,자동,서울 중구 퇴계로 37 
1016,가판14호,자동,서울 중구 퇴계로 37 
1016,희망복권방,자동,"부산 동래구 명장로20번길 26,(명장동) "
1016,운수대통,자동,인천 부평구 동암광장로 6 1층 A호
1016,우두로또,자동,강원 춘천시 영서로 2786 1층
1016,국영슈퍼,자동,충남 아산시 시민로 366 
1016,종합복권방,자동,전남 해남군 해남로 34 종합복권방편의점 
1016,고현시장만남의광장복권방,자동,경남 거제시 거제중앙로19길 8 102호
1016,호박넝쿨복권방,자동,경남 김해시 여래로20번길 50-7 103호
1016,지에스(GS25)뉴양산혜인점,자동,경남 양산시 웅상대로 955 GS편의점
1017,베네시티앞가판,자동,서울 강동구 올림픽로 664 대우베네시티cafe7gram앞
1017,대박복권방,수동,서울 구로구 개봉로17길 18 
1017,복권명당,자동,서울 동작구 국사봉길 26 
1017,SK 복권방,자동,인천 미추홀구 용정공원로 33 인천SKSkyVIEW 상가 A-2동 1층 104호
1017,로또판매점,자동,경기 김포시 김포한강2로 208 고창마을케이시시스위첸아파트 스웨첸아파트상가1동101호씨유kcc점
1017,슈퍼맨편의점,자동,강원 강릉시 경강로 2113 꽃사슴복권방
1017,행운복권,자동,충북 제천시 명륜로 67 1층
1018,씨스페이스 범어사역점,자동,부산 금정구 중앙대로 2097 1층
1018,노다지복권방,자동,인천 미추홀구 한나루로 400 학익시장 외7필지125호
1019,미나식품(로또판매점),수동,서울 강서구 금낭화로 91-12 
1019,장수복권,수동,서울 관악구 난곡로 223 1층
1019,Today,수동,서울 광진구 광나루로56길 85 테크노마트9층판매동24호
1019,종합가판점,수동,서울 동대문구 왕산로40길 6 건물 앞쪽 가판점 청량리역 5번출구 앞쪽
1019,인터넷 복권판매사이트,수동,동행복권(dhlottery.co.kr) 
1019,인터넷 복권판매사이트,수동,동행복권(dhlottery.co.kr) 
1019,인터넷 복권판매사이트,수동,동행복권(dhlottery.co.kr) 
1019,인터넷 복권판매사이트,수동,동행복권(dhlottery.co.kr) 
1019,인터넷 복권판매사이트,수동,동행복권(dhlottery.co.kr) 
1019,인터넷 복권판매사이트,수동,동행복권(dhlottery.co.kr) 
1019,잠실매점,수동,서울 송파구 올림픽로 269 잠실역 8번출구 앞 가판
1019,우리마트,수동,서울 중구 창경궁로 11 
1019,신간판,수동,서울 중구 무교로 24 
1019,빅세일복권방,수동,부산 부산진구 서면문화로 6 
1019,청솔서점,수동,부산 사하구 하신번영로 195 
1019,플러스로또,수동,"대구 달서구 월곡로45길 56,(상인동) "
1019,로또명당,반자동,인천 남동구 호구포로 874 
1019,대박스타,수동,인천 미추홀구 경인로 348 1층
1019,무판안경시청점,수동,울산 남구 중앙로 210-1 
1019,광명24시편의점,반자동,울산 동구 방어진순환도로 945 
1019,복권방,자동,울산 울주군 덕망로 306 동양마트 망양점내
1019,경은 로또 판매점,수동,울산 중구 태화로 37 1층
1019,다정로또복권,자동,세종   다정중앙로 52 
1019,대박복권판매점,수동,경기 김포시 김포한강11로140번길 8-12 102호
1019,오남 로또택배,수동,경기 남양주시 진건오남로 814 B동 1층 5호
1019,팡팡마트,수동,경기 남양주시 진건오남로522번길 3 102호
